,NIQE_gray,NIQE_enhanced,PIQE_gray,PIQE_enhanced,MCMA_gray,MCMA_enhanced
a4760,11.923488772122898,11.233691809217381,28.82517520762587,26.462536172523354,0.3966857095228465,0.3944474353896861
a2689,16.178449428661366,13.997415024371412,15.659561909166195,9.365395680876649,0.32954726323066735,0.32981673483205753
a1601,16.47559117787909,12.170433491654233,13.373033749401275,10.835195933311565,0.34426908913137794,0.354491179673389
a0762,12.392610083291293,11.98698533380337,37.37449413529066,31.132511440044848,0.37234778610403574,0.3714650602893117
a0317,16.001253070429733,15.382912790116865,45.480223620485894,34.502594304365715,0.20059768365080713,0.32371936106752003
a3804,13.327392383559534,13.382459329148702,43.35032684935488,39.70327709184156,0.3719478422294678,0.37097018603428095
a0386,11.671380823787974,9.775781437361493,37.440012561431324,41.53529742714618,0.36124714220335313,0.35827657899251686
a0639,10.990322393082637,10.209780068531773,69.84139395814843,67.97385684259373,0.39408899251125923,0.4044956799166213
